eventID,basisOfRecord,occurrenceID,occurrenceRemarks,individualCount,occurrenceStatus,scientificName,kingdom
MARK002:2022-07-12,HumanObservation,MARK002:2022-07-12:edab00e9911d737385856d4e84258154,"lage waterstand, veel kroos",,absent,Pontastacus leptodactylus,Animalia
MARK002:2022-07-12,HumanObservation,MARK002:2022-07-12:05e1226fad2eec66ff6c70764ecf047a,"lage waterstand, veel kroos",,absent,Pacifastacus leniusculus,Animalia
MARK002:2022-07-12,HumanObservation,MARK002:2022-07-12:422e6b4d2f9dcd8bd752e6c137b49357,"lage waterstand, veel kroos",,absent,Faxonius limosus,Animalia
MARK002:2022-07-12,HumanObservation,MARK002:2022-07-12:b18982f5cf830701713b2561ebf4925a,"lage waterstand, veel kroos",,absent,Faxonius rusticus,Animalia
MARK002:2022-07-12,HumanObservation,MARK002:2022-07-12:bac4e1a538c1fac69b816b52f833928c,"lage waterstand, veel kroos",,absent,Procambarus clarkii,Animalia
MARK002:2022-07-12,HumanObservation,MARK002:2022-07-12:7b9ca039cc740fd5eebdf394d6723417,"lage waterstand, veel kroos",,absent,Procambarus acutus,Animalia
MARK002:2022-07-12,HumanObservation,MARK002:2022-07-12:81520d7b08aa6d4d099d54b51e4bffd9,"lage waterstand, veel kroos",,absent,Procambarus fallax,Animalia
MARK004:2022-07-12,HumanObservation,MARK004:2022-07-12:edab00e9911d737385856d4e84258154,rietvoorn,1,present,Pontastacus leptodactylus,Animalia
MARK004:2022-07-12,HumanObservation,MARK004:2022-07-12:05e1226fad2eec66ff6c70764ecf047a,rietvoorn,,absent,Pacifastacus leniusculus,Animalia
MARK004:2022-07-12,HumanObservation,MARK004:2022-07-12:422e6b4d2f9dcd8bd752e6c137b49357,rietvoorn,,absent,Faxonius limosus,Animalia
MARK004:2022-07-12,HumanObservation,MARK004:2022-07-12:b18982f5cf830701713b2561ebf4925a,rietvoorn,,absent,Faxonius rusticus,Animalia
MARK004:2022-07-12,HumanObservation,MARK004:2022-07-12:bac4e1a538c1fac69b816b52f833928c,rietvoorn,,absent,Procambarus clarkii,Animalia
MARK004:2022-07-12,HumanObservation,MARK004:2022-07-12:7b9ca039cc740fd5eebdf394d6723417,rietvoorn,,absent,Procambarus acutus,Animalia
MARK004:2022-07-12,HumanObservation,MARK004:2022-07-12:81520d7b08aa6d4d099d54b51e4bffd9,rietvoorn,,absent,Procambarus fallax,Animalia
MARK003:2022-07-12,HumanObservation,MARK003:2022-07-12:edab00e9911d737385856d4e84258154,geelgerande watertor,,absent,Pontastacus leptodactylus,Animalia
MARK003:2022-07-12,HumanObservation,MARK003:2022-07-12:05e1226fad2eec66ff6c70764ecf047a,geelgerande watertor,,absent,Pacifastacus leniusculus,Animalia
MARK003:2022-07-12,HumanObservation,MARK003:2022-07-12:422e6b4d2f9dcd8bd752e6c137b49357,geelgerande watertor,,absent,Faxonius limosus,Animalia
MARK003:2022-07-12,HumanObservation,MARK003:2022-07-12:b18982f5cf830701713b2561ebf4925a,geelgerande watertor,,absent,Faxonius rusticus,Animalia
